atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
3.5,6.0,5,40,1.5,6.724583128051745
3.5,6.0,5,40,2.0,-7.591798575973462
3.5,6.0,5,50,1.0,5.488892327804588
3.5,6.0,5,50,1.5,6.724583128051745
3.5,6.0,5,50,2.0,-7.591798575973462
3.5,6.0,5,60,1.0,5.488892327804588
3.5,6.0,5,60,1.5,6.724583128051745
3.5,6.0,5,60,2.0,-7.327843497238136
3.5,6.0,10,40,1.0,5.488892327804588
3.5,6.0,10,40,1.5,6.62328237731932
3.5,6.0,10,40,2.0,-7.591798575973462
3.5,6.0,10,50,1.0,5.488892327804588
3.5,6.0,10,50,1.5,6.724583128051745
3.5,6.0,10,50,2.0,-7.327843497238136
3.5,6.0,10,60,1.0,5.488892327804588
3.5,6.0,10,60,1.5,6.494863997802714
3.5,6.0,10,60,2.0,-7.327843497238136
3.5,6.0,15,40,1.0,5.488892327804588
3.5,6.0,15,40,1.5,6.62328237731932
3.5,6.0,15,40,2.0,-7.327843497238136
3.5,6.0,15,50,1.0,5.7682679754638775
3.5,6.0,15,50,1.5,4.882812204666133
3.5,6.0,15,50,2.0,-7.327843497238136
3.5,6.0,15,60,1.0,7.168995889892576
3.5,6.0,15,60,1.5,1.7128206555938779
3.5,6.0,15,60,2.0,1.3346956276702804
