lookback_entry,lookback_exit,atr_multiplier,use_trend_filter,return,trades,win_rate,sharpe,max_dd,profit_factor
30,5,1.5,True,-3.2171743440892895,8,50.0,-0.4255319155005038,-8.594772723691612,0.6587655132825662
30,3,1.5,True,-3.256644893190023,8,50.0,-0.4417533714640235,-8.597977828416203,0.6545277209690294
25,10,2.0,False,-3.291056665603028,7,28.57142857142857,-0.19908163619149793,-12.571845963081563,0.8821503665086665
10,10,2.5,True,-3.3386877931309935,9,22.22222222222222,-0.31736865448548784,-16.880550448354924,0.8883775161727671
15,7,2.5,True,-3.426139851434782,9,33.33333333333333,-0.34385044238867085,-15.077819120997582,0.8140921919302418
10,7,2.0,True,-3.5549819661637594,10,40.0,-0.3415136234116281,-15.191116377160018,0.8183545081593077
5,5,2.0,False,-3.5839839735713577,19,36.84210526315789,-0.18202590001671143,-13.022702502678019,0.8174864858255363
10,5,2.0,True,-3.713814964351313,11,45.45454545454545,-0.38049151677971677,-12.825941086350912,0.7594450158695356
15,7,1.5,True,-3.7485473341575015,10,30.0,-0.3774479736611509,-15.47904200368848,0.7990271877928941
15,3,2.5,True,-3.7779886750247536,10,40.0,-0.41392108814471573,-12.85116867927314,0.7426501914520631
15,5,2.0,True,-3.854769738329833,10,40.0,-0.4128907008153943,-12.953556483787354,0.7393204474080617
5,3,2.5,False,-3.8692251244565155,21,38.095238095238095,-0.21056691907779723,-15.64939599901306,0.8946306434066515
25,7,1.5,False,-3.8872127330428157,8,37.5,-0.27012041932341624,-11.428840068279388,0.8064566805471413
15,3,2.0,True,-3.8964330957139284,10,40.0,-0.4243641054754849,-12.958444475085184,0.7365922624425912
15,5,0.5,False,-3.9029149113930544,15,20.0,-0.31025112378222974,-8.904710741076538,0.8011334190849286
15,3,0.5,False,-3.942385460493788,15,20.0,-0.31642552842750854,-8.904710741076538,0.7987673197819097
10,5,1.5,False,-3.9604644538614773,16,37.5,-0.21259490011640456,-15.155615748157302,0.840657557529358
10,7,1.5,True,-4.017374506158722,11,36.36363636363637,-0.39045339904180854,-15.715106286186787,0.7909264748760436
20,12,2.0,False,-4.03185941128997,6,16.666666666666664,-0.22159717966312,-16.577254200641754,0.9281806595558358
15,10,1.5,True,-4.116840471567775,9,22.22222222222222,-0.39969240118666294,-17.848484201548544,0.8520073928251917
10,3,2.5,True,-4.173063169234702,11,45.45454545454545,-0.4372732809063682,-13.208989930158676,0.7375090117391936
30,7,2.0,True,-4.17343823082605,7,42.857142857142854,-0.5039548229322701,-11.881699888809072,0.7016022164158925
10,3,2.0,True,-4.291507589923876,11,45.45454545454545,-0.4472880398937449,-13.316265725970721,0.731828526412392
10,7,2.5,True,-4.349441725162087,10,40.0,-0.42244132761168357,-15.889724212147216,0.7827507565013873
15,7,0.5,False,-4.411434257416149,15,20.0,-0.3467510390242329,-9.061951059604779,0.7851124107297186
25,3,2.0,False,-4.47141800392943,9,44.44444444444444,-0.32280729691906157,-10.451804993360824,0.7352171733690183
10,5,2.5,True,-4.508274723349641,11,45.45454545454545,-0.46716210904942523,-13.54521646121183,0.7208564215864804
25,10,1.0,False,-4.5112348713206485,8,25.0,-0.3496022374007861,-11.25953993705009,0.7395139793331429
5,10,1.5,True,-4.620895279090164,12,25.0,-0.3943361307803347,-14.019379219363802,0.7736672304026496
15,5,2.5,True,-4.64922949732816,10,40.0,-0.5038283971844589,-13.672831858648271,0.7008945791494097
20,12,2.5,False,-4.679501197660284,6,16.666666666666664,-0.2573690209166404,-17.057753070096084,0.9046029675246686
15,10,2.5,False,-4.782826302764061,10,30.0,-0.25764075655270696,-16.00095742963612,0.8824600775756253
30,7,2.5,True,-4.794252235779859,7,42.857142857142854,-0.5846313040279264,-12.452575789934716,0.6703768650933292
